,Unnamed: 0,videoId,scanTimestamp,videoExactPublishDate,creatorSubscriberNumber,videoTrendsRanking,videoLengthSeconds,videoType,videoCategory,trendingCountry,exactViewNumber,numberLikes,numberOfComments,isCreatorVerified,videoKeywords,Epoch
26,26,SG065LnQ08Q,1702947835.763489,2023-12-16T10:02:38-08:00,688K subscribers,24,1941,Now,Entertainment,FR,"193,764 views",14K,199,True,"['billy', 'rebeudeter', 'jeu', 'jeux', 'horreur', 'fears', 'to', 'fantom', 'fathom', 'live', 'twitch', 'rediff', 'rediffusion', 'react']",1
27,27,WG4FIkH6HU8,1702947835.763489,2023-12-17T09:00:10-08:00,412K subscribers,25,690,Now,Entertainment,FR,"69,402 views",4.3K,99,True,"['Ski', 'Freeride', 'extreme', 'Bimboes', 'Mickael', 'mickael bimboes', 'Freeride world tour', 'winteractivity', 'winter activity', 'winter', 'brutisode', 'snowboard', 'vtt', 'parapente', 'montagne', 'prank', 'scandale', 'backflip', 'freestyle', 'équipe', 'skiing', 'neige', 'film', 'avalanche', 'vlog', 'antagonist', 'gopro', 'dji', 'world', 'mtb', 'downhill', 'tricks', 'trick', 'fail', 'fails', 'best', 'chamonix', 'audi', 'yeah']",1
28,28,DmdcktG7vXM,1702947835.763489,2023-12-17T10:49:02-08:00,58.5K subscribers,26,167,Now,Music,FR,"30,864 views",4.6K,3.2K,False,,1
29,29,6X1Ko_TExuM,1702947835.763489,2023-12-16T03:45:00-08:00,34.8K subscribers,27,810,Now,Entertainment,FR,"300,241 views",5.7K,272,False,,1
30,30,gRb87CBRZ2o,1702947835.763489,2023-12-17T03:00:27-08:00,319K subscribers,28,1592,Now,Film & Animation,FR,"57,262 views",4.5K,352,True,"['Cinéma', 'Durendal', 'Film', 'Vlog', 'Critique', 'Super Mario Bros', 'The Movie', 'Le Film', 'Aaron Horvath', 'Michael Jelenic', 'Chris Pratt', 'Anya Taylor-Joy', 'Jack Black', 'Seth Rogen', 'Jeu Vidéo', 'Aventure', 'Action']",1
31,31,spmAWUn0k40,1702947835.763489,2023-12-17T09:52:44-08:00,707K subscribers,29,859,Now,Sports,FR,"85,447 views",1.5K,76,True,"['champions cup', 'harlequins', 'rugby', 'sport', 'stade toulousain']",1
32,32,P0rMYaKFO7k,1702947835.763489,2023-12-17T08:00:01-08:00,253K subscribers,30,659,Now,Film & Animation,FR,"57,062 views",8.3K,529,True,"['Neuxs 6', 'Neuxs VI', 'Nexus 6', 'Science-Fiction', 'France', 'Metz', 'Blida', 'Fensch Toast', 'Science Fiction', 'Arnold Schwarzenegger', 'Linda Hamilton', 'Kyle Reese', 'T1000']",1
33,33,6oLB9vDNvI0,1702947835.763489,2023-12-15T09:47:00-08:00,2.1M subscribers,31,394,Now,Entertainment,FR,"697,740 views",17K,616,True,"['booskap', 'booska-p', 'rap', 'hiphop', 'interview', 'freestyle', 'rap français', 'musique', 'jdr', 'rap fr', 'booska', 'booska p', 'la bul', 'jul', 'malik bentalha', 'malik bentalha sketch', ""mange moi l'ananas""]",1
34,34,jply2m0IoYs,1702947835.763489,2023-12-17T01:26:50-08:00,235K subscribers,32,104,Now,News & Politics,FR,"130,253 views",260,597,True,"['TF1', 'beauté', 'concours', 'feminism washing', 'france', 'féminisme', 'justice', 'miss', 'miss nord-pas-de-calais', 'média', 'police', 'sexisme', 'télévision', 'Ève Gilles']",1
35,35,-3Xvyo_-Pyg,1702947835.763489,2023-12-17T03:26:56-08:00,605K subscribers,33,1494,Now,Entertainment,FR,"39,079 views",3.2K,82,False,,1
36,36,icGwtYWesWw,1702947835.763489,2023-12-17T14:19:35-08:00,2.04M subscribers,34,596,Now,Sports,FR,"394,391 views",8.2K,309,True,"['résumé', 'highlights', 'real', 'de', 'madrid', 'villarreal', 'jude', 'bellingham', 'brahim', 'diaz', 'rodrygo', 'vini', 'vinicius', 'junior', 'jr', 'endrick', 'luka', 'modric', 'la', 'liga', 'foot', 'football', 'club', 'fc']",1
37,37,k51hM1cEgcs,1702947835.763489,2023-12-17T10:00:21-08:00,1.03M subscribers,35,764,Now,Science & Technology,FR,"72,983 views",3K,123,True,,1
38,38,Mz-J5JPxxBI,1702947835.763489,2023-12-17T02:59:33-08:00,136K subscribers,36,888,Now,Music,FR,"62,839 views",4.7K,201,True,"['Beendo z', 'Retour à l’école', 'École', 'Élèves', 'Rap', 'Raplume', 'Interview', 'Interview Beendo Z', 'Au tableau']",1
39,39,JGP98IDCrTc,1702947835.763489,2023-12-17T08:14:52-08:00,312K subscribers,37,784,Now,Science & Technology,FR,"57,671 views",6.3K,291,True,"['pixmob', 'coldplay', 'the weeknd', 'taylor swift', 'imagine dragons', 'lady gaga', 'bad bunny', 'elton john', 'wristband', 'infrarouge', 'menu', 'ecologique', 'concert', 'spectacle']",1
40,40,RrasC4E_1R8,1702947835.763489,2023-12-17T03:00:31-08:00,1.13M subscribers,38,1048,Now,Entertainment,FR,"103,608 views",4.6K,257,True,,1
41,41,bOppj5rT2xA,1702947835.763489,2023-12-17T08:30:06-08:00,436K subscribers,39,673,Now,Entertainment,FR,"39,014 views",3.4K,44,True,"['FR', 'AlphaCast', 'Gameplay', 'Alfacast', 'France', 'Lynkus', 'Live', 'Twitch', 'Meilleurs moments', 'Best of', '35', 'Tablequest', 'Jeu vidéo', 'gameplay', 'drôle', 'blagues', 'rire', 'clips', 'Stream', 'Streaming', 'Alpha', 'Alfa', 'M4F', 'Ted', 'Eventis', 'Troma', 'Ted Etienne', 'AVAMIND', 'AVA', 'Gom4rt', 'Antoine Daniel', 'JDG', 'Mynthos', 'Joueur du Grenier', 'Dead Space', 'Grounded', 'Warhammer']",1
42,42,OBgUnwkPivg,1702947835.763489,2023-12-15T09:22:32-08:00,1.95M subscribers,40,509,Now,People & Blogs,FR,"862,882 views",5.8K,657,False,"['guy marchand', 'hommage', 'patrick sébastien']",1
43,43,BYKz4ksSFFc,1702947835.763489,2023-12-17T03:00:12-08:00,116K subscribers,41,157,Now,Music,FR,"51,606 views",3.5K,130,False,"['rsko chanel bag parole', 'rsko chanel bag']",1
